Product_ID,Product_Name,Brand,Category,Price_INR,Rating,Reviews,Availability
1,Apple Mobile Model 1,Apple,Mobile,97695,3.6,14628,In Stock
2,Apple Laptop Model 2,Apple,Laptop,77896,3.8,1952,In Stock
3,Realme TV Model 3,Realme,TV,66736,4.2,36781,In Stock
4,Sony Keyboard Model 4,Sony,Keyboard,29392,3.9,18231,In Stock
5,Xiaomi Keyboard Model 5,Xiaomi,Keyboard,45096,3.6,14110,Out of Stock
6,Apple Laptop Model 6,Apple,Laptop,50296,3.2,22541,Out of Stock
7,Samsung Mouse Model 7,Samsung,Mouse,70783,3.2,24807,In Stock
8,Sony Monitor Model 8,Sony,Monitor,82896,4.2,23700,In Stock
9,Apple Mobile Model 9,Apple,Mobile,87172,3.5,18965,In Stock
10,Realme Laptop Model 10,Realme,Laptop,50322,3.6,41660,Out of Stock
11,Xiaomi Smartwatch Model 11,Xiaomi,Smartwatch,47065,3.4,17496,In Stock
12,LG Headphones Model 12,LG,Headphones,70509,4.5,10708,Out of Stock
13,Dell Monitor Model 13,Dell,Monitor,84385,4.4,14392,Out of Stock
14,Samsung TV Model 14,Samsung,TV,4706,4.6,26290,Out of Stock
15,Apple TV Model 15,Apple,TV,74840,4.8,20622,In Stock
16,Lenovo Keyboard Model 16,Lenovo,Keyboard,84758,3.9,17359,In Stock
17,Realme Monitor Model 17,Realme,Monitor,98411,4.2,38242,Out of Stock
18,HP TV Model 18,HP,TV,18630,4.0,5957,In Stock
19,Apple Headphones Model 19,Apple,Headphones,82739,3.3,44596,Out of Stock
20,LG Laptop Model 20,LG,Laptop,50931,3.8,30674,Out of Stock
21,Sony Mobile Model 21,Sony,Mobile,89665,4.4,44676,Out of Stock
22,HP Laptop Model 22,HP,Laptop,38968,3.9,29735,In Stock
23,Boat Headphones Model 23,Boat,Headphones,67041,4.8,40979,Out of Stock
24,Sony TV Model 24,Sony,TV,20531,3.7,10587,In Stock
25,LG Smartwatch Model 25,LG,Smartwatch,64541,3.0,23788,Out of Stock
26,Realme Mobile Model 26,Realme,Mobile,32070,4.8,5161,In Stock
27,Lenovo Laptop Model 27,Lenovo,Laptop,70321,4.5,8414,Out of Stock
28,Sony Headphones Model 28,Sony,Headphones,35240,4.1,39753,Out of Stock
29,Realme TV Model 29,Realme,TV,93946,3.6,44019,Out of Stock
30,Lenovo Mouse Model 30,Lenovo,Mouse,16359,3.5,4196,Out of Stock
31,Samsung TV Model 31,Samsung,TV,77627,3.4,4652,In Stock
32,Realme Laptop Model 32,Realme,Laptop,4616,4.7,4643,In Stock
33,Boat Mouse Model 33,Boat,Mouse,28579,4.1,47405,Out of Stock
34,Realme Mouse Model 34,Realme,Mouse,53853,3.4,6352,Out of Stock
35,HP Keyboard Model 35,HP,Keyboard,54382,3.9,47780,In Stock
36,Apple Mobile Model 36,Apple,Mobile,53271,4.5,7161,In Stock
37,Realme TV Model 37,Realme,TV,70791,3.9,27648,In Stock
38,Boat Mouse Model 38,Boat,Mouse,33241,4.7,4940,Out of Stock
39,Sony Laptop Model 39,Sony,Laptop,7129,4.3,35427,In Stock
40,Apple TV Model 40,Apple,TV,22297,3.8,31546,In Stock
41,Dell Mobile Model 41,Dell,Mobile,22078,3.8,25586,Out of Stock
42,Lenovo Monitor Model 42,Lenovo,Monitor,55943,4.4,47874,Out of Stock
43,Xiaomi TV Model 43,Xiaomi,TV,39389,3.4,3832,In Stock
44,HP Mobile Model 44,HP,Mobile,7071,4.2,32954,In Stock
45,Samsung Laptop Model 45,Samsung,Laptop,24855,3.1,4453,In Stock
46,Dell Laptop Model 46,Dell,Laptop,75167,3.5,38962,In Stock
47,LG Laptop Model 47,LG,Laptop,55447,4.3,37042,Out of Stock
48,Boat TV Model 48,Boat,TV,88281,4.4,15642,Out of Stock
49,Dell Headphones Model 49,Dell,Headphones,88538,4.3,29964,Out of Stock
50,Apple Mobile Model 50,Apple,Mobile,60567,4.2,36896,In Stock
51,Apple TV Model 51,Apple,TV,66806,3.5,22872,In Stock
52,Realme Smartwatch Model 52,Realme,Smartwatch,37852,3.3,35600,Out of Stock
53,LG Mobile Model 53,LG,Mobile,88037,4.6,19620,In Stock
54,Xiaomi Monitor Model 54,Xiaomi,Monitor,15628,4.8,48655,In Stock
55,Boat Monitor Model 55,Boat,Monitor,79775,3.4,22471,In Stock
56,Boat Mouse Model 56,Boat,Mouse,33413,4.8,3329,In Stock
57,Dell Monitor Model 57,Dell,Monitor,6277,3.0,8573,Out of Stock
58,Xiaomi Mouse Model 58,Xiaomi,Mouse,72808,4.4,36759,In Stock
59,Apple Laptop Model 59,Apple,Laptop,91072,4.8,35755,In Stock
60,HP Headphones Model 60,HP,Headphones,56832,3.3,20202,Out of Stock
61,Samsung Smartwatch Model 61,Samsung,Smartwatch,28034,4.4,43708,In Stock
62,HP Keyboard Model 62,HP,Keyboard,81850,4.5,15514,In Stock
