Employee_Name,Years_With_Company,Post_Name,Salary
Employee_01,1,Junior Developer,26400
Employee_02,2,Software Developer,37900
Employee_03,3,Senior Developer,55400
Employee_04,4,Data Analyst,39900
Employee_05,5,Senior Data Analyst,62400
Employee_06,6,HR Executive,37400
Employee_07,7,HR Manager,56900
Employee_08,8,Sales Executive,41400
Employee_09,9,Sales Manager,63900
Employee_10,10,Project Manager,97400
Employee_11,2,Junior Developer,28200
Employee_12,4,Software Developer,41500
Employee_13,6,Senior Developer,60800
Employee_14,8,Data Analyst,47100
Employee_15,10,Senior Data Analyst,71400
Employee_16,12,HR Executive,48200
Employee_17,3,HR Manager,49700
Employee_18,5,Sales Executive,36000
Employee_19,7,Sales Manager,60300
Employee_20,9,Project Manager,95600
Employee_21,1,Junior Developer,26400
Employee_22,3,Software Developer,39700
Employee_23,5,Senior Developer,59000
Employee_24,7,Data Analyst,45300
Employee_25,9,Senior Data Analyst,69600
Employee_26,11,HR Executive,46400
Employee_27,13,HR Manager,67700
Employee_28,2,Sales Executive,30600
Employee_29,6,Sales Manager,58500
Employee_30,10,Project Manager,97400
Employee_31,4,Junior Developer,31800
Employee_32,8,Software Developer,48700
Employee_33,12,Senior Developer,71600
Employee_34,14,Data Analyst,57900
Employee_35,5,Senior Data Analyst,62400
Employee_36,9,HR Executive,42800
Employee_37,13,HR Manager,67700
Employee_38,3,Sales Executive,32400
Employee_39,7,Sales Manager,60300
Employee_40,11,Project Manager,99200
Employee_41,2,Junior Developer,28200
Employee_42,6,Software Developer,45100
Employee_43,10,Senior Developer,68000
Employee_44,15,Data Analyst,59700
Employee_45,4,Senior Data Analyst,60600
Employee_46,8,HR Executive,41000
Employee_47,12,HR Manager,65900
Employee_48,14,Sales Executive,52200
Employee_49,5,Sales Manager,56700
Employee_50,16,Project Manager,108200
