Study_Hours,Attendance,Previous_Marks,Assignments_Completed,Result
7.9,89,62,9,Fail
4.7,84,43,0,Fail
8.7,74,41,4,Fail
7.1,94,47,5,Fail
1.4,47,67,8,Fail
9.8,96,42,1,Pass
7.7,91,89,4,Pass
8.0,70,59,1,Pass
1.7,84,86,8,Pass
4.8,71,73,6,Pass
4.0,56,48,5,Fail
9.3,88,41,4,Pass
6.6,55,77,1,Fail
8.3,59,48,10,Fail
4.7,71,42,7,Fail
2.7,91,91,3,Pass
5.8,63,59,4,Fail
1.1,70,28,7,Fail
8.4,42,60,7,Fail
6.5,47,57,5,Fail
7.7,43,86,3,Pass
3.9,44,75,7,Fail
9.7,92,38,7,Pass
9.0,91,35,6,Pass
7.9,90,67,0,Pass
2.3,43,28,5,Fail
4.9,44,47,6,Fail
0.9,57,34,10,Fail
2.0,74,26,5,Fail
7.0,60,90,3,Fail
7.6,69,31,6,Pass
9.7,50,25,1,Fail
3.6,84,91,0,Fail
4.0,59,38,7,Fail
5.0,44,82,10,Fail
2.3,85,27,9,Fail
1.7,95,35,6,Fail
5.0,40,32,0,Fail
2.7,66,75,10,Fail
6.9,90,69,4,Pass
4.7,83,58,3,Fail
8.4,92,42,9,Pass
7.2,65,31,8,Fail
3.5,62,65,8,Fail
8.4,83,41,3,Pass
8.1,49,66,10,Pass
4.2,54,73,4,Fail
3.2,76,85,5,Fail
7.0,80,60,8,Pass
1.8,47,25,7,Fail
2.4,71,44,1,Fail
0.6,62,85,3,Fail
8.0,70,62,3,Fail
6.8,98,68,10,Pass
7.2,44,57,7,Fail
7.9,100,36,4,Pass
4.9,67,88,8,Pass
5.9,87,79,8,Pass
1.8,65,95,4,Fail
1.6,58,85,4,Fail
6.8,87,45,9,Fail
5.0,81,43,6,Fail
5.9,48,42,1,Fail
7.8,83,90,7,Pass
6.5,85,64,6,Pass
5.8,63,57,5,Fail
5.8,96,93,7,Pass
3.4,79,67,9,Fail
0.8,60,89,3,Fail
4.6,40,94,4,Fail
2.5,81,30,2,Fail
4.4,52,50,7,Fail
8.6,86,77,4,Pass
2.7,72,82,3,Fail
1.1,68,35,7,Fail
3.2,49,47,4,Fail
3.3,83,63,5,Fail
6.8,50,81,4,Fail
5.8,65,33,2,Fail
7.9,91,67,1,Fail
6.8,96,46,9,Pass
4.4,100,40,1,Fail
8.2,98,61,3,Fail
2.1,73,54,7,Fail
0.7,52,70,1,Fail
1.4,91,47,7,Fail
7.4,88,83,8,Pass
4.9,100,30,7,Fail
2.0,79,86,3,Fail
5.3,48,27,0,Fail
1.9,70,77,9,Fail
7.1,67,49,3,Fail
4.7,91,52,8,Fail
4.1,63,26,2,Fail
3.4,60,74,1,Fail
6.5,44,36,8,Fail
3.9,90,71,10,Fail
1.3,86,76,9,Pass
1.6,42,85,8,Fail
9.6,66,75,2,Pass
9.1,69,46,10,Pass
7.1,68,77,7,Pass
3.0,96,83,1,Fail
9.7,49,47,1,Fail
7.9,58,33,9,Fail
7.3,51,88,3,Pass
4.8,54,35,8,Fail
3.1,95,67,1,Fail
1.4,97,41,3,Fail
9.1,42,33,3,Fail
4.8,78,80,3,Fail
2.4,54,35,7,Fail
3.4,51,72,10,Fail
6.0,57,74,10,Fail
2.2,51,29,8,Fail
8.6,69,37,2,Fail
7.7,100,81,10,Pass
7.3,75,61,5,Fail
4.6,84,33,6,Fail
6.5,70,95,7,Pass
6.0,40,43,8,Fail
6.7,45,25,10,Pass
1.3,56,90,6,Fail
4.5,54,26,6,Fail
0.9,91,64,8,Pass
5.2,91,95,2,Pass
3.6,92,66,3,Fail
1.9,78,66,6,Fail
1.5,73,52,0,Fail
6.1,79,34,3,Fail
2.1,64,65,7,Fail
9.3,80,88,10,Pass
6.0,88,31,5,Fail
3.8,86,87,4,Fail
6.1,77,54,4,Pass
0.7,43,63,7,Fail
9.6,84,36,5,Pass
5.1,62,69,0,Fail
7.9,85,37,5,Fail
1.3,72,44,4,Fail
5.1,93,76,7,Pass
5.2,60,28,9,Fail
9.4,96,56,10,Pass
5.9,91,67,6,Pass
5.0,60,34,3,Fail
3.0,69,45,4,Fail
3.6,72,49,1,Fail
5.4,86,72,10,Pass
4.7,82,94,9,Fail
0.7,91,84,9,Pass
8.3,62,38,3,Fail
9.0,70,26,3,Fail
1.8,66,28,9,Fail
5.8,95,67,5,Pass
1.5,58,36,7,Fail
6.9,75,41,5,Pass
3.2,47,85,4,Fail
6.8,91,87,6,Pass
7.4,63,84,8,Pass
7.8,60,43,3,Fail
1.5,75,68,8,Fail
9.2,70,68,2,Pass
2.7,91,38,4,Fail
0.9,72,64,10,Fail
5.8,71,62,10,Pass
4.0,46,53,10,Fail
8.4,41,78,3,Pass
8.2,64,73,9,Fail
3.5,100,62,10,Pass
9.6,95,76,10,Pass
3.3,78,79,0,Fail
5.4,78,65,8,Pass
2.9,63,44,10,Fail
9.4,50,78,8,Pass
2.1,40,75,2,Fail
0.9,60,94,8,Fail
4.6,59,35,1,Fail
9.9,51,54,5,Pass
9.0,55,90,6,Pass
7.6,41,61,5,Fail
9.0,77,91,7,Pass
9.0,96,25,2,Pass
5.4,82,27,6,Fail
3.5,67,81,7,Fail
7.8,65,50,6,Pass
6.8,58,61,3,Fail
4.0,48,55,3,Fail
1.4,76,53,2,Fail
7.6,74,91,5,Pass
3.0,40,31,6,Fail
9.4,65,79,3,Pass
2.8,56,88,4,Fail
1.7,50,71,3,Fail
8.4,82,53,2,Pass
2.0,72,36,7,Fail
2.2,78,73,8,Fail
6.2,83,58,3,Fail
8.8,99,35,9,Pass
2.4,88,50,6,Fail
3.4,77,93,1,Pass
7.9,93,43,4,Pass
9.7,69,37,0,Fail
5.3,100,73,0,Pass
1.9,86,39,3,Fail
0.6,79,90,4,Fail
2.7,95,85,8,Pass
1.8,71,94,1,Fail
6.9,83,89,9,Pass
1.7,57,42,2,Fail
5.3,98,40,1,Fail
7.1,78,49,7,Pass
6.0,87,58,8,Fail
2.4,68,87,6,Pass
8.1,92,77,1,Pass
7.3,44,70,1,Fail
7.5,46,87,4,Pass
1.7,70,70,4,Fail
1.7,84,51,10,Fail
