Study_Hours,Attendance,Previous_Marks,Assignments_Completed,Sleep_Hours,Practice_Tests,Result
7.9,93,80,3,4.2,9,Fail
4.7,43,72,9,7.4,4,Fail
8.7,64,91,0,8.8,10,Pass
7.1,67,93,4,8.1,6,Pass
1.4,88,75,8,5.4,4,Fail
9.8,47,51,10,4.3,0,Fail
7.7,66,67,2,8.7,6,Fail
8.0,49,55,7,8.7,7,Fail
1.7,88,69,2,6.7,10,Fail
4.8,78,82,1,7.2,7,Fail
4.0,70,51,3,6.3,0,Fail
9.3,63,60,9,6.1,6,Pass
6.6,49,28,7,4.6,8,Fail
8.3,96,77,5,4.5,5,Pass
4.7,79,59,3,5.2,4,Fail
2.7,59,57,1,8.2,8,Fail
5.8,65,62,2,4.7,6,Fail
1.1,84,40,1,5.1,7,Fail
8.4,83,67,2,6.7,5,Pass
6.5,68,77,7,5.1,3,Fail
7.7,58,49,1,4.8,5,Fail
3.9,80,34,0,6.8,10,Fail
9.7,80,52,5,5.8,6,Fail
9.0,76,39,3,7.1,7,Fail
7.9,44,51,5,8.6,1,Fail
2.3,68,69,1,4.8,10,Fail
4.9,77,33,2,8.6,2,Fail
0.9,97,78,4,8.5,10,Fail
2.0,72,40,7,8.1,4,Fail
7.0,60,88,4,7.2,10,Pass
7.6,73,77,5,7.1,9,Pass
9.7,50,44,5,7.2,8,Pass
3.6,45,64,2,7.5,10,Fail
4.0,81,32,3,4.1,6,Fail
5.0,100,32,4,8.8,9,Fail
2.3,91,92,0,6.9,1,Fail
1.7,75,81,7,7.9,0,Fail
5.0,42,35,6,5.9,5,Fail
2.7,100,45,3,4.1,8,Fail
6.9,67,39,4,6.5,8,Fail
4.7,57,53,3,6.5,5,Fail
8.4,94,45,7,6.2,5,Fail
7.2,85,48,8,5.7,6,Fail
3.5,85,62,1,5.2,9,Pass
8.4,56,38,4,6.6,9,Fail
8.1,100,87,0,5.9,1,Fail
4.2,67,76,4,8.8,6,Fail
3.2,72,78,2,4.9,4,Fail
7.0,85,37,3,5.6,8,Fail
1.8,80,75,5,5.5,5,Fail
2.4,50,84,3,6.7,10,Fail
0.6,58,37,4,6.5,4,Fail
8.0,62,78,8,7.2,7,Pass
6.8,97,50,8,8.8,1,Pass
7.2,83,80,0,5.4,10,Pass
7.9,62,58,4,7.5,1,Fail
4.9,84,81,9,4.1,4,Fail
5.9,85,35,5,5.3,9,Fail
1.8,64,52,2,6.3,10,Fail
1.6,64,44,6,4.2,5,Fail
6.8,94,42,1,7.1,5,Fail
5.0,74,46,0,7.4,0,Fail
5.9,49,52,6,7.7,10,Fail
7.8,83,34,5,6.6,0,Fail
6.5,75,75,8,7.0,0,Fail
5.8,71,64,3,6.0,5,Fail
5.8,84,83,9,4.2,0,Fail
3.4,95,75,4,4.5,1,Fail
0.8,60,35,8,7.3,6,Fail
4.6,65,29,1,9.0,7,Fail
2.5,51,55,1,4.1,3,Fail
4.4,79,59,8,6.8,8,Fail
8.6,64,42,9,7.8,6,Fail
2.7,60,80,10,8.1,2,Fail
1.1,82,66,3,6.7,7,Fail
3.2,64,78,0,7.1,6,Fail
3.3,68,32,10,7.5,8,Fail
6.8,66,82,6,8.3,1,Fail
5.8,55,39,2,4.6,2,Fail
7.9,47,56,8,8.6,3,Fail
6.8,90,56,9,4.1,3,Pass
4.4,45,83,3,8.2,9,Fail
8.2,59,44,8,4.4,8,Fail
2.1,80,42,8,5.0,5,Fail
0.7,48,49,5,4.0,5,Fail
1.4,79,50,6,6.2,9,Fail
7.4,84,37,2,5.7,4,Fail
4.9,80,37,10,4.8,2,Fail
2.0,58,41,10,6.3,1,Fail
5.3,41,58,10,6.0,3,Fail
1.9,94,49,8,7.8,7,Fail
7.1,59,52,0,8.5,5,Fail
4.7,89,76,4,7.3,4,Fail
4.1,52,42,4,4.6,5,Fail
3.4,49,89,10,5.5,10,Fail
6.5,87,78,6,8.6,10,Pass
3.9,97,37,5,4.4,1,Fail
1.3,92,47,1,6.0,1,Fail
1.6,85,38,8,8.7,2,Fail
9.6,55,44,3,8.8,9,Fail
9.1,95,50,1,6.1,5,Fail
7.1,80,34,10,7.3,9,Pass
3.0,50,26,2,6.3,7,Fail
9.7,47,56,0,7.8,6,Fail
7.9,93,74,0,4.2,3,Fail
7.3,56,46,4,4.7,3,Fail
4.8,86,86,1,7.1,1,Fail
3.1,48,51,9,5.2,5,Fail
1.4,57,88,5,7.3,3,Fail
9.1,57,41,3,5.8,3,Fail
4.8,57,63,0,8.4,0,Fail
2.4,81,79,5,8.1,8,Fail
3.4,95,29,1,6.5,10,Fail
6.0,95,91,10,7.9,5,Pass
2.2,85,50,3,5.4,5,Fail
8.6,52,60,5,6.5,10,Fail
7.7,98,69,0,5.0,5,Fail
7.3,73,70,1,8.3,6,Fail
4.6,73,26,2,8.1,4,Fail
6.5,82,86,0,8.5,5,Pass
6.0,86,69,7,8.4,5,Fail
6.7,98,95,10,8.8,7,Pass
1.3,75,58,10,5.1,6,Fail
4.5,77,68,2,8.7,5,Fail
0.9,85,56,8,6.9,0,Fail
5.2,55,88,5,6.1,9,Fail
3.6,58,84,0,6.8,9,Fail
1.9,78,89,0,5.7,2,Fail
1.5,43,60,6,5.4,3,Fail
6.1,59,81,4,5.2,10,Fail
2.1,83,50,0,4.4,3,Fail
9.3,99,57,10,6.5,8,Pass
6.0,71,78,8,8.4,8,Pass
3.8,64,30,5,7.2,9,Fail
6.1,66,75,10,6.6,0,Fail
0.7,81,26,10,6.1,5,Fail
9.6,73,66,10,6.3,6,Pass
5.1,41,58,2,5.0,9,Fail
7.9,72,58,9,8.1,2,Fail
1.3,64,60,5,5.0,3,Fail
5.1,82,59,7,7.6,1,Fail
5.2,93,53,9,7.8,8,Fail
9.4,98,57,1,6.9,10,Pass
5.9,77,65,4,8.3,1,Fail
5.0,62,79,1,5.5,2,Fail
3.0,67,64,3,8.4,3,Fail
3.6,50,70,4,7.6,9,Fail
5.4,97,84,9,8.0,4,Pass
4.7,91,95,9,7.3,3,Pass
0.7,92,32,4,8.2,3,Fail
8.3,60,75,3,9.0,6,Pass
9.0,59,40,5,6.1,4,Fail
1.8,92,38,10,8.1,1,Fail
5.8,73,81,10,7.7,9,Pass
1.5,82,29,2,6.3,4,Fail
6.9,69,85,2,8.6,2,Fail
3.2,67,79,7,6.0,8,Fail
6.8,78,95,3,6.8,8,Pass
7.4,89,72,2,4.5,1,Fail
7.8,60,86,0,5.1,0,Fail
1.5,89,33,4,8.2,0,Fail
9.2,54,88,4,6.0,8,Fail
2.7,64,36,6,6.0,6,Fail
0.9,95,47,2,5.2,8,Fail
5.8,98,34,7,6.5,6,Fail
4.0,96,53,7,8.0,4,Fail
8.4,59,78,5,8.5,6,Fail
8.2,91,44,1,4.4,7,Fail
3.5,97,83,5,6.9,4,Fail
9.6,99,68,7,6.3,10,Pass
3.3,41,69,4,7.1,9,Fail
5.4,85,91,2,6.2,8,Fail
2.9,100,55,5,6.0,10,Fail
9.4,86,49,3,6.4,4,Pass
2.1,54,95,4,6.9,1,Fail
0.9,86,64,3,6.5,5,Fail
4.6,46,68,3,6.4,8,Fail
9.9,69,46,7,8.1,8,Fail
9.0,78,40,5,7.7,4,Fail
7.6,67,37,5,5.7,3,Fail
9.0,82,40,7,8.0,4,Fail
9.0,54,38,3,8.3,8,Fail
5.4,76,78,1,4.8,0,Fail
3.5,79,29,9,6.9,3,Fail
7.8,78,69,0,5.4,2,Fail
6.8,57,92,6,7.7,8,Fail
4.0,58,79,2,5.2,5,Fail
1.4,55,53,2,7.4,0,Fail
7.6,68,29,0,5.3,2,Fail
3.0,75,84,9,6.6,0,Fail
9.4,62,25,4,8.7,5,Fail
2.8,65,73,3,5.9,10,Fail
1.7,57,72,8,8.4,6,Fail
8.4,53,38,0,8.9,9,Fail
2.0,80,77,6,8.4,8,Fail
2.2,89,37,5,4.8,9,Fail
6.2,57,41,6,8.1,3,Fail
8.8,92,82,1,4.2,10,Pass
2.4,74,94,10,6.0,2,Fail
3.4,50,43,2,8.4,4,Fail
