Product_ID,Price,Rating,Number_of_Reviews,Discount
1,42644,4.8,12952,6
2,9693,4.5,3099,46
3,76586,2.9,16642,27
4,5113,3,13717,8
5,31743,3,13925,7
6,74314,3.1,7330,74
7,8307,4,13013,6
8,29176,2.9,4378,37
9,55136,3.1,3874,73
10,40632,4,22362,23
11,13706,4,20950,24
12,49009,3,23349,8
13,74171,2.9,6763,63
14,69892,3.7,10308,59
15,76949,4.7,11863,38
16,32760,4.5,22919,31
17,10927,4,17224,63
18,45219,4.3,9450,9
19,15674,3.9,5420,43
20,20119,4.8,13833,5
21,10372,4.4,18791,40
22,44779,4.3,19491,63
23,76207,4.5,2268,11
24,35580,3.8,21777,8
25,8151,4.3,10160,73
26,58610,3.4,12656,44
27,3156,4.8,11662,21
28,15546,3.8,7165,36
29,17151,4.4,13053,50
30,65277,3,14733,51
31,72215,3.4,4501,55
32,72317,3.4,13623,45
33,50064,4.8,4960,10
34,23296,3.1,21593,29
35,1780,3.8,19319,23
36,34637,3.4,4788,53
37,70268,3.6,18572,40
38,16647,4.3,16906,6
39,60052,4.7,22316,71
40,51628,3.6,12929,13
41,63313,4.1,2054,24
42,9026,4.9,14453,20
43,14607,3.5,1737,13
44,229,4,17598,12
45,47858,4.1,2319,26
46,49512,3.1,8280,44
47,79140,3.6,4040,14
48,64171,4.9,15284,61
49,63616,3.5,4737,13
50,45108,4.4,15698,20
51,67875,2.8,17324,46
52,19414,4.2,901,67
53,39270,4.9,2997,33
54,68146,3.6,5488,45
55,29400,3.9,16487,42
56,29433,4.1,24863,24
57,31576,4.5,24259,29
58,26402,3.9,11666,3
59,3860,4.5,15489,33
60,25580,4.3,11296,57
61,46011,4.8,11963,10
62,29095,3,15418,25
63,44466,3.2,20464,0
64,63044,4.7,11287,10
65,15915,4.7,23329,25
66,62855,4.7,14233,42
67,11569,4.5,23667,50
68,60906,3.6,2797,20
69,22481,4.9,917,19
70,77637,4.7,21506,18
71,78300,4.9,21552,44
72,20634,4,4307,2
73,2065,4.5,23816,13
74,69219,4.4,4577,55
75,25732,4.5,6930,3
76,33207,3.2,16437,30
77,77064,3.5,17852,53
78,17379,2.9,24260,45
79,60251,4.2,16948,53
80,65951,3.1,4990,67
81,67117,2.8,14437,23
82,79963,2.8,4923,22
83,18753,3.8,23778,15
84,73137,2.9,22373,66
85,69762,4,3491,71
86,7646,3.3,9089,5
87,13010,3.9,18421,3
88,8504,3.7,20086,64
89,79646,3.9,22714,35
90,59488,3.9,15679,64
91,32659,4.3,8521,71
92,26752,4.6,4508,53
93,16140,3.6,10369,9
94,31740,3.7,6984,38
95,16235,4.7,5075,46
96,18939,3.3,4512,59
97,28980,4.4,3099,50
98,64065,3.1,21898,28
99,21362,4.3,16910,51
100,44647,3.7,11700,40
