Brand,RAM_GB,Storage_GB,Camera_MP,Battery_mAh,Price_INR
Samsung,12,256,12,5000,59200
Realme,12,1024,64,5000,90500
Oppo,16,128,200,3000,55300
OnePlus,8,256,108,5000,48300
OnePlus,8,512,50,5000,64700
Realme,12,256,12,5000,44300
Samsung,6,256,200,5000,59000
Oppo,12,256,108,5500,65700
Apple,8,128,50,5000,68400
Samsung,4,256,64,4500,55600
Vivo,4,128,50,6000,29900
Motorola,12,128,50,5000,47000
Oppo,4,256,48,6000,39400
Realme,6,256,48,6000,31200
Oppo,8,512,50,6000,68600
Realme,6,128,108,5500,36700
Vivo,6,128,48,5000,38900
Apple,12,1024,50,4500,120200
Realme,4,128,50,5000,28200
OnePlus,12,128,50,5500,46500
Vivo,12,128,48,5000,51800
Xiaomi,8,256,50,5500,45700
Apple,6,512,50,4000,87400
Motorola,8,256,64,5000,54500
Realme,4,256,108,5000,46800
Oppo,8,128,48,5000,42400
OnePlus,16,128,108,4000,52800
Realme,16,256,108,4000,55900
Vivo,12,128,108,5500,44600
OnePlus,6,128,64,5000,45500
OnePlus,12,128,64,3000,50300
Apple,12,128,64,3000,66700
Samsung,8,256,64,5000,54900
Vivo,8,256,12,4000,33200
Motorola,4,64,200,5000,39500
Samsung,6,256,64,5500,44100
Realme,8,512,108,4500,63700
Realme,6,256,50,5000,41600
Xiaomi,6,512,12,4000,60600
Oppo,12,256,50,4500,56300
Apple,16,512,50,5500,101900
Realme,8,128,50,5000,40400
Oppo,12,128,50,5500,38100
Xiaomi,16,128,50,4500,44100
Samsung,6,256,50,4500,52800
Motorola,8,128,50,5000,27000
OnePlus,8,128,200,5000,54900
Motorola,4,256,48,6000,34600
Oppo,12,128,50,4000,44500
Realme,8,128,50,5500,30600
Realme,8,128,50,5500,38800
Apple,6,256,50,5000,72600
Xiaomi,6,128,64,4500,41100
OnePlus,12,128,200,5000,62000
OnePlus,4,128,50,4500,32300
Samsung,6,256,64,5500,51800
Vivo,6,512,12,5000,45900
Apple,8,256,50,6000,79400
Oppo,8,256,50,5000,48700
Oppo,8,512,12,5000,70200
Motorola,4,1024,64,5000,79000
Oppo,6,256,64,5000,41600
Xiaomi,12,512,64,6000,63400
Motorola,8,512,50,4500,60600
OnePlus,8,512,64,6000,69400
Xiaomi,8,256,50,5500,43700
Motorola,12,64,12,5500,45900
Xiaomi,4,64,48,5000,22500
Samsung,8,256,64,5500,62000
OnePlus,8,256,200,4500,64500
Realme,8,128,12,5500,33600
Apple,12,256,50,4000,79800
OnePlus,8,256,64,4500,64700
Apple,12,512,108,5000,96700
Oppo,12,128,50,4500,46200
OnePlus,8,128,64,5000,40800
Xiaomi,12,512,64,5500,75800
Apple,8,512,108,4500,98600
Vivo,12,1024,48,5000,90600
Oppo,8,512,108,4000,65500
Motorola,8,512,12,5500,59200
OnePlus,8,128,108,5500,46000
Apple,4,128,12,5000,63400
Realme,8,128,48,5000,37900
Oppo,12,256,12,6000,51800
Oppo,8,512,50,5500,59900
Samsung,6,128,50,5000,46900
Xiaomi,8,256,48,5000,44500
Realme,6,128,50,5500,33400
