Song Name,Times Listened,Likes,TOTAL,POPULARITY
Blinding Lights,420,380,800,5
Shape of You,410,365,775,5
Someone You Loved,398,350,748,5
As It Was,390,342,732,5
Starboy,382,335,717,5
One Dance,375,328,703,5
STAY,368,320,688,5
Believer,360,315,675,5
Heat Waves,355,310,665,5
Perfect,348,305,653,5
Dance Monkey,342,298,640,5
Closer,335,292,627,5
Sunflower,330,288,618,5
Levitating,325,282,607,5
lovely,318,277,595,4
Save Your Tears,312,271,583,4
Watermelon Sugar,306,266,572,4
Bad Guy,300,260,560,4
Havana,294,255,549,4
Counting Stars,289,250,539,4
Stay With Me,284,246,530,4
The Weeknd - Die For You,279,241,520,4
Don't Start Now,274,237,511,4
Shallow,269,233,502,4
Thunder,264,229,493,4
Memories,259,225,484,4
Rockstar,254,221,475,4
Circles,249,217,466,4
Señorita,244,213,457,4
Attention,239,209,448,4
Photograph,234,205,439,4
Faded,229,201,430,4
Let Me Down Slowly,224,197,421,4
Lovely Day,219,193,412,4
Cheap Thrills,214,189,403,4
New Rules,209,185,394,3
Without Me,204,181,385,3
Dusk Till Dawn,199,177,376,3
Girls Like You,194,173,367,3
Something Just Like This,189,169,358,3
Lovely,184,165,349,3
Senorita,179,161,340,3
Attention,174,157,331,3
Treat You Better,169,153,322,3
Night Changes,164,149,313,3
I Don't Care,159,145,304,3
Happier,154,141,295,3
Eastside,149,137,286,2
Lovely,144,133,277,2
Youngblood,139,129,268,2
