,Temperature_C,IceCream_Sales
0,36.8,313.0
1,29.7,247.0
2,30.6,267.0
3,39.1,349.0
4,30.7,251.0
5,42.0,358.0
6,28.2,237.0
7,20.1,153.0
9,18.6,445.0
10,34.8,267.0
11,16.2,117.0
13,19.2,127.0
14,44.3,410.0
15,22.3,140.0
16,17.5,117.0
17,32.7,265.0
18,29.9,253.0
20,25.8,227.0
21,15.8,122.0
22,17.4,105.0
23,23.3,183.0
24,31.3,277.0
25,17.1,112.0
26,44.0,421.0
27,20.2,144.0
28,21.8,162.0
29,17.5,112.0
30,19.1,135.0
31,30.5,239.0
32,29.8,251.0
33,26.2,206.0
34,33.5,270.0
37,19.7,134.0
38,42.1,378.0
39,34.3,282.0
40,31.6,258.0
41,19.3,147.0
42,41.1,379.0
43,21.7,173.0
44,25.7,209.0
46,30.7,240.0
47,23.8,189.0
48,26.7,221.0
49,24.4,219.0
50,17.7,128.0
51,36.4,325.0
52,19.7,154.0
53,37.6,321.0
54,17.5,129.0
55,39.9,341.0
56,16.4,119.0
57,16.6,112.0
59,30.1,255.0
60,16.4,88.0
61,24.8,163.0
62,35.9,286.0
63,26.6,196.0
64,39.1,333.0
65,35.9,325.0
66,39.2,318.0
67,17.9,126.0
68,32.3,292.0
69,34.0,296.0
70,23.4,209.0
71,43.6,389.0
72,30.1,233.0
73,16.4,103.0
74,37.7,314.0
75,32.5,267.0
76,25.6,198.0
77,31.5,258.0
78,23.8,200.0
79,24.7,205.0
80,33.5,245.0
81,20.6,164.0
82,31.7,264.0
83,28.5,227.0
85,26.0,232.0
86,39.4,324.0
87,16.1,80.0
88,33.6,289.0
89,17.2,145.0
90,31.6,293.0
91,33.9,293.0
92,24.9,192.0
93,16.7,97.0
94,17.7,146.0
95,44.1,411.0
96,42.0,348.0
97,37.8,374.0
98,32.0,251.0
100,34.4,318.0
101,36.2,305.0
102,44.8,375.0
103,16.4,94.0
104,18.5,134.0
105,25.8,206.0
106,23.5,174.0
107,44.0,384.0
108,34.9,304.0
109,34.1,275.0
110,27.0,223.0
111,26.2,211.0
112,29.8,235.0
113,43.5,385.0
114,43.1,377.0
116,17.2,156.0
117,28.0,223.0
118,18.7,123.0
119,38.7,330.0
120,43.9,380.0
121,29.9,259.0
122,36.8,306.0
123,29.0,235.0
124,18.6,137.0
126,32.5,268.0
127,29.2,247.0
129,24.4,190.0
130,15.3,86.0
131,31.8,285.0
132,44.6,381.0
133,33.7,298.0
134,17.8,115.0
135,37.1,320.0
136,31.8,253.0
137,18.3,132.0
138,24.6,198.0
139,22.3,172.0
140,44.2,365.0
141,27.3,224.0
142,32.3,280.0
143,16.1,137.0
144,33.2,283.0
146,41.9,403.0
147,29.8,234.0
148,24.5,196.0
149,26.0,218.0
150,21.4,183.0
151,23.1,167.0
152,33.7,269.0
153,28.2,253.0
154,26.6,219.0
155,32.1,267.0
156,42.4,375.0
157,30.4,260.0
158,15.8,97.0
159,39.7,361.0
160,15.5,80.0
161,40.7,372.0
162,40.3,391.0
